endpoint,n_1,n_2,n_3,n_4,n_5,n_6,n_7,n_8,n_9,n_10,event_rate_1,event_rate_2,event_rate_3,event_rate_4,event_rate_5,event_rate_6,event_rate_7,event_rate_8,event_rate_9,event_rate_10,event_rate_ratio,endpoint_string,n,phecode_category
phecode_308-4,58,37,27,12,9,10,8,6,5,4,0.009477124183006535,0.006045751633986928,0.004411764705882353,0.00196078431372549,0.0014705882352941176,0.0016339869281045752,0.00130718954248366,9.805523778395162e-4,8.171269815329302e-4,6.537015852263442e-4,0.06897678795836598,Demoralization and apathy,176,Mental
phecode_705-5,37,20,26,17,11,10,7,5,7,11,0.006053664921465969,0.0032722513089005235,0.004253926701570681,0.002781413612565445,0.001799738219895288,0.0016361256544502618,0.001145475372279496,8.181966944853543e-4,0.001145475372279496,0.0018000327278677793,0.2973459468304829,"Rheumatism, unspecified",151,Musc/Skel
phecode_367-21,14,10,9,14,10,11,9,10,9,5,0.0022905759162303663,0.0016361256544502618,0.0014727540500736377,0.002290950744558992,0.0016363933889707086,0.0018000327278677793,0.0014727540500736377,0.0016363933889707086,0.0014727540500736377,8.181966944853543e-4,0.35720129976389187,Corneal ulcer,101,Eye
phecode_391-21,14,29,18,24,21,25,15,20,13,5,0.002298095863427446,0.0047603414313854234,0.002954694681549573,0.003939592908732764,0.003447143795141169,0.0041037426132632965,0.0024622455679579776,0.003282994090610637,0.002134296503037268,8.208832703989492e-4,0.35720149166217136,Eustachian salpingitis,184,Hearing
phecode_832-5,157,167,107,51,59,69,63,73,69,74,0.02572083879423329,0.02735910878112713,0.01752948885976409,0.008355176933158584,0.009665792922673657,0.011305915123709652,0.01032279206947403,0.011961330493200065,0.011305915123709652,0.01212518433557267,0.47141481009130937,Acetonuria,889,Signs/Symptoms
phecode_204-4,23,8,4,9,6,10,12,8,17,11,0.003758169934640523,0.00130718954248366,6.5359477124183e-4,0.0014705882352941176,9.805523778395162e-4,0.0016342539630658604,0.0019611047556790323,0.0013074031704526884,0.002778231737211963,0.0017976793593724465,0.478339029537364,Prediabetes*,108,Endo
phecode_685-4,14,18,9,25,8,12,17,13,15,7,0.0022920759659463,0.0029469548133595285,0.001473718683477976,0.0040936630096610445,0.0013099721630915344,0.0019649582446373015,0.0027836908465695104,0.002128704765023743,0.0024561978057966267,0.0011462256427050926,0.5000818732601932,Prickly heat and miliaria,138,Derm
phecode_179-9,20,7,8,10,8,16,15,11,9,11,0.0032685079261317207,0.0011439777741461023,0.0013074031704526884,0.0016342539630658604,0.0013074031704526884,0.0026148063409053767,0.0024513809445987906,0.0017979731938542007,0.0014710689767898006,0.0017979731938542007,0.5500898986596927,Immunodeficiency NOS,115,Blood
phecode_215,12,9,18,10,21,6,9,9,2,7,0.004296455424274973,0.00322234156820623,0.00644468313641246,0.0035816618911174787,0.007521489971346705,0.002148997134670487,0.0032234957020057307,0.0032234957020057307,7.163323782234957e-4,0.002507163323782235,0.5835422636103152,Testicular dysfunction,103,Endo
phecode_292,18,15,18,6,9,17,7,6,19,11,0.0029498525073746312,0.0024582104228121925,0.0029498525073746312,9.832841691248771e-4,0.0014749262536873156,0.0027859718125204853,0.0011473528929683658,9.83445336830028e-4,0.0031142435666284217,0.0018029831175217178,0.6112112768398623,Somatoform disorders,126,Mental
phecode_391-12,39,33,36,32,25,28,39,31,34,24,0.006429277942631058,0.005440158259149357,0.005934718100890208,0.005275304978569074,0.004121332014507088,0.004615891856247939,0.006429277942631058,0.00511045169798879,0.00560501153972964,0.003957131079967024,0.6154860802841018,Chronic otitis media,321,Hearing
phecode_660-2,58,66,61,48,66,43,44,39,47,36,0.009616978942132317,0.010943458796219533,0.010114408887415022,0.007958879124523296,0.010943458796219533,0.0071298292157187864,0.007296849087893864,0.006467661691542288,0.007794361525704809,0.005970149253731343,0.6207925887802367,Bacterial infection of the skin,508,Derm
phecode_526-11,27,17,16,13,18,16,24,17,19,17,0.0044197086266164675,0.002783235101506221,0.0026195153896529143,0.002128356254092993,0.0029469548133595285,0.0026195153896529143,0.003929273084479371,0.002783235101506221,0.003110674525212836,0.002783235101506221,0.6297327124111669,Intestinal e.coli,184,GI
phecode_660-11,39,32,45,52,48,67,60,63,68,25,0.006411310208778563,0.005260562222587539,0.007397665625513727,0.00854841361170475,0.007892140743176587,0.011016113120683986,0.009865175928970734,0.01035843472541927,0.011180532719500164,0.004110489970404472,0.6411310382043693,Candidiasis of skin and nails,499,Derm
phecode_660-21,53,51,49,55,45,44,36,27,40,34,0.008770478239285123,0.008439516796293232,0.008108555353301341,0.009101439682277015,0.007446632467317558,0.0072811517458216115,0.005957305973854046,0.004468718967229395,0.006620324395895399,0.005627275736511089,0.6416156089761607,Impetigo,434,Derm
phecode_730,48,60,64,57,50,37,41,36,30,31,0.007845701209545603,0.009807126511932003,0.010462645087461173,0.009318293281020108,0.008173941474579042,0.006048716691188491,0.006702632009154814,0.005885237861696911,0.004904364884747425,0.005067843714239006,0.6459389134107133,Other disorders and symptoms of the musculoskeletal system,454,Musc/Skel
phecode_139-52,17,7,11,12,18,6,12,10,13,11,0.00277687030382228,0.0011434171839268213,0.0017967984318850048,0.0019601437438745506,0.0029402156158118264,9.80231988237216e-4,0.001960463976474432,0.0016337199803953602,0.0021238359745139684,0.0017970919784348963,0.6471645348222609,Lipoma of intrathoracic organs,117,Neoplasms
phecode_823-2,258,322,335,295,298,292,290,231,162,172,0.044605809128630707,0.05567081604426003,0.057918395573997236,0.05100276625172891,0.05152143845089903,0.050484094052558784,0.05013831258644537,0.03993775933609958,0.028008298755186723,0.029737206085753802,0.6666666666666666,Abnormal levels of other serum enzymes,2655,Signs/Symptoms
phecode_604-3,24,16,17,19,24,14,14,22,25,16,0.008664259927797834,0.005776173285198556,0.006137184115523465,0.0068592057761732855,0.008664259927797834,0.005054151624548736,0.005054151624548736,0.007945106536655833,0.00902853015529072,0.00577825929938606,0.6669074274708078,Peyronie's disease,191,Genitourinary
phecode_614-54,16,12,13,9,9,12,8,6,8,11,0.004828002414001207,0.003621001810500905,0.00392393600965892,0.0027165710836100213,0.0027165710836100213,0.003622094778146695,0.0024147298520977964,0.0018110473890733474,0.0024147298520977964,0.0033202535466344703,0.6877075158466647,Abscess or ulceration of vulva,104,Genitourinary
phecode_469,251,264,271,274,216,174,142,138,154,173,0.04436980731836662,0.04666784514760474,0.047905250132579104,0.04843556655471098,0.038182782393494784,0.030758352483648575,0.025101643980908608,0.02439455541806611,0.027222909669436097,0.03058698727015559,0.6893648883954987,Bronchitis,2057,Resp
phecode_823,266,332,320,329,285,274,294,240,164,186,0.04599688742867024,0.05740964897112225,0.05533460141794916,0.05689088708282898,0.049282379387860974,0.04738025246411897,0.05084745762711865,0.041508128675198895,0.028363887928052577,0.03216879972327914,0.6993690556380575,Abnormal serum enzyme levels,2690,Signs/Symptoms
phecode_604,126,110,92,92,114,81,104,118,94,89,0.046787968808020795,0.04084663943557371,0.03416264389157074,0.03416264389157074,0.04233197177868548,0.030077979948013367,0.038618640920906055,0.043833580980683504,0.034918276374442794,0.033060921248142645,0.7066115946130805,Disorders of penis,1020,Genitourinary
phecode_709-11,11,11,22,26,20,15,14,15,12,8,0.0018015067147068458,0.0018015067147068458,0.0036030134294136916,0.004258106780216181,0.003276003276003276,0.002457002457002457,0.002293202293202293,0.002457002457002457,0.0019656019656019656,0.0013104013104013104,0.7273918546645819,Mallet finger,154,Musc/Skel
phecode_719-11,12,14,19,16,13,14,18,12,15,9,0.001960463976474432,0.002287207972553504,0.0031040679627511846,0.0026139519686325763,0.0021241830065359475,0.0022875816993464053,0.0029411764705882353,0.00196078431372549,0.0024509803921568627,0.0014705882352941176,0.750122549019608,Spasm of muscle,142,Musc/Skel
phecode_144-3,16,10,24,16,13,19,17,10,21,12,0.004830917874396135,0.0030193236714975845,0.007248565388100272,0.004832376925400181,0.003926306251887647,0.005738447598912715,0.005134400483237693,0.0030202355783751134,0.006342494714587738,0.003624282694050136,0.7502265176683781,Benign neoplasms of the ovary,158,Neoplasms
phecode_099,76,95,77,80,86,61,94,84,65,58,0.012593206296603147,0.015741507870753936,0.01275890637945319,0.013256006628003313,0.014252568776930727,0.010109380178985748,0.01557838912827312,0.013921113689095127,0.010772290354656945,0.00961219754723235,0.7632843710203584,Lab findings related to infections,776,ID
phecode_709-1,17,28,20,23,29,20,28,21,20,13,0.0027873421872438102,0.004590916543695688,0.003279226102639777,0.0037711100180357437,0.004754877848827677,0.003279226102639777,0.004590916543695688,0.003443752049852411,0.0032797638570022957,0.002131846507051492,0.7648312850886501,Acquired deformities of fingers,219,Musc/Skel
phecode_604-1,23,20,14,12,19,23,18,14,22,18,0.008285302593659942,0.007204610951008645,0.005043227665706052,0.004322766570605188,0.006844380403458214,0.008288288288288289,0.006486486486486486,0.005045045045045045,0.007927927927927928,0.006486486486486486,0.7828907168037603,Redundant prepuce and phimosis,183,Genitourinary
phecode_325-1,25,16,13,8,12,13,14,19,7,20,0.004086970737289521,0.0026156612718652933,0.002125224783390551,0.0013078306359326467,0.00196174595389897,0.002125224783390551,0.002289077828646174,0.003106605624591236,0.001144538914323087,0.0032701111837802484,0.8001308044473512,Abnormal involuntary movements,147,Neuro
phecode_336-52,35,18,22,17,28,23,31,18,30,28,0.0057273768613974796,0.0029455081001472753,0.0036000654557355586,0.0027818687612502046,0.004581901489117984,0.0037643207855973812,0.005073649754500818,0.0029459901800327334,0.004909983633387889,0.004582651391162029,0.8001309328968903,Meralgia paresthetica,250,Neuro
phecode_532-1,21,15,15,15,23,17,20,19,20,17,0.0034420586789050975,0.002459016393442623,0.002459016393442623,0.002459016393442623,0.0037704918032786887,0.0027868852459016396,0.003278688524590164,0.003114754098360656,0.003278688524590164,0.0027868852459016396,0.809656518345043,Intestinal fistula,182,GI
phecode_391-11,16,22,17,18,21,19,15,22,26,13,0.002642007926023778,0.003632760898282695,0.0028071334214002644,0.00297225891677675,0.0034676354029062086,0.003137902559867878,0.002477291494632535,0.003633360858794385,0.0042939719240297275,0.0021469859620148637,0.8126341866226259,Acute otitis media,189,Hearing
phecode_522-11,18,13,19,18,20,23,22,18,12,15,0.0029508196721311475,0.0021311475409836068,0.003114754098360656,0.0029508196721311475,0.003279226102639777,0.0037711100180357437,0.003607148712903755,0.002951303492375799,0.001967535661583866,0.002459419576979833,0.8334699677542767,Crohn's disease,178,GI
phecode_672,20,12,14,17,25,12,19,18,15,17,0.0032711808963035655,0.001962708537782139,0.002289826627412496,0.0027809586127924097,0.004089645018812367,0.001963029609029936,0.003108130214297399,0.0029445444135449044,0.0024537870112874205,0.0027809586127924097,0.8501390479306397,Other acute skin changes due to ultraviolet radiation,169,Derm
phecode_721-4,14,16,16,17,19,15,9,16,6,12,0.0022875816993464053,0.00261437908496732,0.0026148063409053767,0.002778231737211963,0.0031050825298251346,0.0024513809445987906,0.0014708285667592745,0.0026148063409053767,9.805523778395162e-4,0.0019611047556790323,0.857282936053977,Calcium deposits in tendon and bursa,140,Musc/Skel
phecode_682-12,272,269,284,282,272,272,266,287,230,237,0.04684808818463658,0.04633138132965897,0.04891491560454702,0.04857044436789528,0.04684808818463658,0.04684808818463658,0.04581467447468136,0.04943162245952463,0.03961419221495005,0.04081984154323114,0.8713235294117648,Pilar and trichodermal cyst,2671,Derm
phecode_619-5,97,93,87,96,109,84,105,103,96,85,0.02987372959655066,0.028641823221435173,0.026793963658761934,0.02956575300277179,0.033569448721897134,0.025870033877425317,0.03234750462107209,0.03173136167590881,0.029574861367837338,0.02618607516943931,0.8765586193316437,Noninflammatory disorders of vulva and perineum,955,Genitourinary
phecode_256-1,41,43,23,29,24,35,33,23,32,36,0.006698251919620977,0.007024995915700049,0.0037575559549093284,0.004737787943146545,0.003920927952948864,0.005718954248366013,0.005392156862745098,0.003758169934640523,0.00522875816993464,0.0058823529411764705,0.8781922525107604,Hyperosmolality and/or hypernatremia,319,Metab
phecode_712-6,17,19,24,17,24,17,15,22,21,15,0.0027859718125204853,0.0031137332022287776,0.003933136676499509,0.0027864284543517455,0.003933781347320112,0.0027864284543517455,0.0024586133420750698,0.0036059662350434356,0.0034420586789050975,0.0024586133420750698,0.8824975654907102,Instability of joint,191,Musc/Skel
phecode_486-2,18,17,21,16,22,17,26,21,23,16,0.0029576076240552087,0.002793296089385475,0.0034505422280644103,0.0026289845547157412,0.003614853762734144,0.002793755135579293,0.0042728019720624484,0.003451109285127362,0.0037797863599013967,0.002629416598192276,0.8890349675887884,Other diseases of bronchus,197,Resp
phecode_682-1,303,282,282,322,305,322,275,274,290,270,0.052512998266897745,0.048873483535528596,0.048873483535528596,0.05581556595597157,0.05286878141792339,0.05581556595597157,0.04766857340960305,0.04749523314265904,0.050268677413763216,0.046801872074883,0.8912435705349007,Cutaneous cyst,2925,Derm
phecode_815,83,63,34,41,43,38,59,67,58,74,0.013599868916926102,0.01032279206947403,0.005571030640668524,0.006718007537276749,0.0070457152220219565,0.006226446010158938,0.009667376699983615,0.010978207438964443,0.00950508030154048,0.012127171419206818,0.8917123755592675,Symptoms and signs concerning food and fluid intake,560,Signs/Symptoms
