phecode_category,phecode, phecode_string, 1_,2_,3_,4_,5_,6_,7_,8_,9_,10_,1,2,3,4,5,6,7,8,9,10, rr
Musc/Skel,phecode_719-11,Spasm of muscle,17,8,13,16,15,11,20,17,15,10,0.003,0.001,0.002,0.003,0.002,0.002,0.003,0.003,0.002,0.002,0.588
Genitourinary,phecode_604-1,Redundant prepuce and phimosis,27,14,15,17,16,19,20,25,13,17,0.01,0.005,0.005,0.006,0.006,0.007,0.007,0.009,0.005,0.006,0.63
Hearing,phecode_391-21,Eustachian salpingitis,16,19,19,19,25,23,17,22,13,11,0.003,0.003,0.003,0.003,0.004,0.004,0.003,0.004,0.002,0.002,0.688
Genitourinary,phecode_614-54,Abscess or ulceration of vulva,14,8,15,7,14,9,7,10,10,10,0.004,0.002,0.005,0.002,0.004,0.003,0.002,0.003,0.003,0.003,0.715
Metab,phecode_230-22,Underweight,13,6,14,21,11,16,16,28,19,10,0.002,0.001,0.002,0.003,0.002,0.003,0.003,0.005,0.003,0.002,0.769
Neoplasms,phecode_144-3,Benign neoplasms of the ovary,13,19,16,10,11,18,22,23,16,10,0.004,0.006,0.005,0.003,0.003,0.005,0.007,0.007,0.005,0.003,0.769
Resp,phecode_475-5,Exercise induced bronchospasm,14,14,6,6,7,11,12,11,18,11,0.002,0.002,0.001,0.001,0.001,0.002,0.002,0.002,0.003,0.002,0.786
Hearing,phecode_391-12,Chronic otitis media,33,27,38,29,32,35,41,27,33,26,0.005,0.004,0.006,0.005,0.005,0.006,0.007,0.004,0.005,0.004,0.788
Derm,phecode_679-22,Flushing,11,14,16,22,16,18,21,23,19,9,0.002,0.002,0.003,0.004,0.003,0.003,0.003,0.004,0.003,0.001,0.818
Derm,phecode_685-1,Dyshidrosis,35,20,22,27,25,43,26,34,32,29,0.006,0.003,0.004,0.004,0.004,0.007,0.004,0.006,0.005,0.005,0.829
Derm,phecode_685-4,Prickly heat and miliaria,12,12,12,16,12,20,13,17,14,10,0.002,0.002,0.002,0.003,0.002,0.003,0.002,0.003,0.002,0.002,0.833
Genitourinary,phecode_604,Disorders of penis,129,93,105,88,99,100,93,94,111,108,0.048,0.035,0.039,0.033,0.037,0.037,0.035,0.035,0.041,0.04,0.838
Genitourinary,phecode_604-3,Peyronie's disease,25,19,17,19,21,13,18,21,17,21,0.009,0.007,0.006,0.007,0.008,0.005,0.006,0.008,0.006,0.008,0.84
Neuro,phecode_325-1,Abnormal involuntary movements,20,14,8,21,17,13,16,12,9,17,0.003,0.002,0.001,0.003,0.003,0.002,0.003,0.002,0.001,0.003,0.85
Neuro,phecode_336-52,Meralgia paresthetica,35,29,18,29,24,18,19,21,27,30,0.006,0.005,0.003,0.005,0.004,0.003,0.003,0.003,0.004,0.005,0.857
Musc/Skel,phecode_724-51,Calcaneal spur,16,11,6,11,18,21,20,16,15,14,0.003,0.002,0.001,0.002,0.003,0.003,0.003,0.003,0.002,0.002,0.875
GI,phecode_522-11,Crohn's disease,24,15,13,18,15,21,16,16,19,21,0.004,0.002,0.002,0.003,0.002,0.003,0.003,0.003,0.003,0.003,0.875
Eye,phecode_389-1,Ocular pain,38,30,35,43,35,41,33,42,48,34,0.006,0.005,0.006,0.007,0.006,0.007,0.005,0.007,0.008,0.006,0.895
Eye,phecode_367-21,Corneal ulcer,10,9,5,10,15,5,14,12,12,9,0.002,0.001,0.001,0.002,0.002,0.001,0.002,0.002,0.002,0.001,0.9
Derm,phecode_664-2,Pityriasis,21,20,16,17,15,21,9,25,26,19,0.003,0.003,0.003,0.003,0.002,0.003,0.001,0.004,0.004,0.003,0.905
Genitourinary,phecode_603-5,Orchitis and epididymitis,64,53,57,42,56,63,53,67,66,58,0.024,0.02,0.021,0.016,0.021,0.023,0.02,0.025,0.024,0.021,0.907
Musc/Skel,phecode_712-6,Instability of joint,23,18,18,18,19,21,27,14,12,21,0.004,0.003,0.003,0.003,0.003,0.003,0.004,0.002,0.002,0.003,0.913
Genitourinary,phecode_619-5,Noninflammatory disorders of vulva and perineum,108,87,100,90,81,96,113,97,83,100,0.033,0.027,0.031,0.028,0.025,0.03,0.035,0.03,0.026,0.031,0.926
Blood,phecode_179-9,Immunodeficiency NOS,16,5,8,12,10,13,11,7,18,15,0.003,0.001,0.001,0.002,0.002,0.002,0.002,0.001,0.003,0.002,0.938
Genitourinary,phecode_623,Hypertrophy of female genital organs,98,83,94,81,80,83,104,79,89,92,0.03,0.026,0.029,0.025,0.025,0.026,0.032,0.024,0.027,0.028,0.939
Blood,phecode_179,Immunodeficiencies,20,17,17,15,24,18,21,19,17,19,0.003,0.003,0.003,0.002,0.004,0.003,0.003,0.003,0.003,0.003,0.95
Genitourinary,phecode_613-7,Other signs and symptoms in breast,48,68,61,67,56,67,56,61,53,46,0.015,0.021,0.019,0.02,0.017,0.02,0.017,0.019,0.016,0.014,0.959
Genitourinary,phecode_603-1,Hydrocele,31,32,31,32,24,23,45,40,29,30,0.011,0.012,0.011,0.012,0.009,0.008,0.016,0.014,0.01,0.011,0.968
Derm,phecode_682,Other follicular disorders,448,406,380,424,388,426,399,390,453,442,0.082,0.074,0.07,0.078,0.071,0.078,0.073,0.071,0.083,0.081,0.987
Signs/Symptoms,phecode_840-9,Anaphylactic reaction,13,12,10,10,11,12,6,16,13,13,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.003,0.002,0.002,1
Musc/Skel,phecode_712-5,Disorder of ligament,9,8,8,12,9,10,8,13,18,9,0.001,0.001,0.001,0.002,0.001,0.002,0.001,0.002,0.003,0.001,1
Endo,phecode_200-31,Graves' disease [Toxic diffuse goiter],8,9,11,11,13,15,10,17,15,8,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.003,0.002,0.001,1
Metab,phecode_257,Polydipsia,14,23,21,21,30,15,18,17,17,14,0.002,0.004,0.003,0.003,0.005,0.002,0.003,0.003,0.003,0.002,1
Neoplasms,phecode_139-54,Testicular limpoma,12,7,15,12,17,21,8,15,10,12,0.004,0.003,0.005,0.004,0.006,0.008,0.003,0.005,0.004,0.004,1
Derm,phecode_682-12,Pilar and trichodermal cyst,261,284,273,238,277,281,261,261,268,267,0.045,0.049,0.047,0.041,0.048,0.048,0.045,0.045,0.046,0.046,1.023
Cardio,phecode_439,Hemorrhoids,480,502,464,487,501,510,508,522,515,495,0.087,0.091,0.084,0.088,0.09,0.092,0.092,0.094,0.093,0.089,1.031
Hearing,phecode_394-22,Vestibular neuronitis,30,18,26,24,27,27,28,33,30,31,0.005,0.003,0.004,0.004,0.004,0.004,0.005,0.005,0.005,0.005,1.034
Genitourinary,phecode_604-5,Balanoposthitis,44,43,45,41,43,41,41,51,44,46,0.016,0.016,0.016,0.015,0.016,0.015,0.015,0.018,0.016,0.017,1.046
Derm,phecode_682-11,Sebaceous cyst [Epidermal cyst],219,205,223,206,236,208,212,237,237,229,0.037,0.035,0.038,0.035,0.04,0.035,0.036,0.04,0.04,0.039,1.046
Neuro,phecode_331-3,"Headache syndromes, non migraine",20,14,12,9,8,8,19,20,10,21,0.003,0.002,0.002,0.001,0.001,0.001,0.003,0.003,0.002,0.003,1.05
Derm,phecode_660-21,Impetigo,39,41,47,31,47,45,56,43,44,41,0.006,0.007,0.008,0.005,0.008,0.007,0.009,0.007,0.007,0.007,1.051
Derm,phecode_664-21,Pityriasis rosea,19,9,12,15,14,13,13,18,25,20,0.003,0.001,0.002,0.002,0.002,0.002,0.002,0.003,0.004,0.003,1.053
Genitourinary,phecode_603,Disorders and symptoms of testis,130,133,135,109,139,135,130,159,151,139,0.051,0.052,0.053,0.043,0.054,0.053,0.051,0.062,0.059,0.054,1.07
Derm,phecode_682-1,Cutaneous cyst,271,303,303,292,293,277,289,298,303,296,0.047,0.053,0.053,0.051,0.051,0.048,0.05,0.052,0.053,0.051,1.092
Derm,phecode_665-3,Other psoriasis,10,11,14,13,13,16,15,9,21,11,0.002,0.002,0.002,0.002,0.002,0.003,0.002,0.001,0.003,0.002,1.1
Neoplasms,phecode_139-53,Lipoma of other skin subcutaneous tissue,57,66,50,48,56,44,47,43,46,63,0.009,0.011,0.008,0.008,0.009,0.007,0.008,0.007,0.008,0.01,1.105
Neuro,phecode_329-42,Cognitive communication deficit,18,20,25,25,26,31,24,27,30,20,0.003,0.003,0.004,0.004,0.004,0.005,0.004,0.004,0.005,0.003,1.111
ID,phecode_086,"Pediculosis, acariasis and other infestations",27,25,18,25,18,20,25,29,30,30,0.004,0.004,0.003,0.004,0.003,0.003,0.004,0.005,0.005,0.005,1.111
Musc/Skel,phecode_705-5,"Rheumatism, unspecified",15,14,17,19,12,13,17,11,16,17,0.002,0.002,0.003,0.003,0.002,0.002,0.003,0.002,0.003,0.003,1.134
Neoplasms,phecode_139,Benign sarcoma-related cancers,204,206,210,240,207,216,204,210,245,232,0.035,0.035,0.036,0.041,0.035,0.037,0.035,0.036,0.042,0.04,1.137
GI,phecode_557-8,Hemorrhage of rectum and anus,306,299,306,295,312,330,341,313,310,349,0.053,0.052,0.053,0.051,0.054,0.057,0.059,0.055,0.054,0.061,1.141
