phecode_category,endpoint,phecode_string,Age+Sex,Age+Sex+Retina,delta
Neuro,phecode_337-8,Polyneuropathy in diseases classified elsewhere,"0.636 (0.605, 0.665)","0.495 (0.453, 0.536)","-0.139 (-0.19, -0.084)"
Musc/Skel,phecode_701,"Osteomyelitis, periostitis, and other infections involving bone","0.599 (0.558, 0.641)","0.529 (0.468, 0.567)","-0.074 (-0.12, -0.033)"
Eye,phecode_367-21,Corneal ulcer,"0.574 (0.543, 0.605)","0.502 (0.462, 0.539)","-0.073 (-0.115, -0.042)"
Musc/Skel,phecode_712-5,Disorder of ligament,"0.594 (0.554, 0.635)","0.539 (0.491, 0.588)","-0.054 (-0.085, -0.021)"
Neuro,phecode_323,Systemic atrophies primarily affecting the central nervous system,"0.62 (0.588, 0.66)","0.57 (0.533, 0.602)","-0.053 (-0.068, -0.025)"
Eye,phecode_374-8,Retinal edema,"0.647 (0.618, 0.674)","0.594 (0.56, 0.633)","-0.051 (-0.091, -0.007)"
GI,phecode_532-1,Intestinal fistula,"0.609 (0.58, 0.637)","0.563 (0.531, 0.596)","-0.047 (-0.064, -0.025)"
Musc/Skel,phecode_710-31,Genu valgum (acquired),"0.639 (0.595, 0.677)","0.602 (0.548, 0.642)","-0.039 (-0.063, -0.018)"
Musc/Skel,phecode_721-4,Calcium deposits in tendon and bursa,"0.485 (0.454, 0.513)","0.45 (0.41, 0.491)","-0.037 (-0.066, 0.001)"
GI,phecode_514-21,Impaction of intestine,"0.57 (0.521, 0.618)","0.537 (0.497, 0.584)","-0.036 (-0.062, -0.005)"
GI,phecode_500-4,Disturbances in tooth eruption,"0.557 (0.521, 0.593)","0.522 (0.485, 0.559)","-0.035 (-0.053, -0.013)"
Metab,phecode_247-52,Hypercalcemia,"0.656 (0.629, 0.68)","0.623 (0.598, 0.649)","-0.034 (-0.049, -0.019)"
Blood,phecode_172,Other disorders of white blood cells,"0.626 (0.601, 0.657)","0.594 (0.566, 0.624)","-0.034 (-0.051, -0.011)"
Derm,phecode_685-4,Prickly heat and miliaria,"0.52 (0.489, 0.554)","0.489 (0.457, 0.525)","-0.034 (-0.059, -0.003)"
