phecode_category,endpoint,phecode_string,ukb_agesex,ukb_agesexretina,ukb_delta
Blood,phecode_165,Hemoglobinopathies,"0.612 (0.575, 0.655)","0.872 (0.85, 0.905)","0.259 (0.214, 0.312)"
Eye,phecode_387-2,Myopia,"0.585 (0.565, 0.603)","0.818 (0.803, 0.833)","0.232 (0.213, 0.26)"
Derm,phecode_688-1,Sarcoidosis,"0.29 (0.255, 0.319)","0.5 (0.457, 0.543)","0.207 (0.161, 0.263)"
Derm,phecode_665-3,Other psoriasis,"0.373 (0.328, 0.41)","0.547 (0.506, 0.579)","0.175 (0.12, 0.23)"
Eye,phecode_373,Noninflammatory disorders of choroid,"0.582 (0.547, 0.613)","0.753 (0.712, 0.783)","0.173 (0.139, 0.203)"
Derm,phecode_665-2,Psoriatic arthropathy,"0.37 (0.324, 0.405)","0.537 (0.5, 0.572)","0.169 (0.122, 0.214)"
ID,phecode_005,Mycobacteria,"0.485 (0.447, 0.532)","0.651 (0.602, 0.695)","0.169 (0.117, 0.225)"
Neoplasms,phecode_139-3,Benign neoplasm of other connective and soft tissue,"0.4 (0.352, 0.446)","0.551 (0.502, 0.592)","0.149 (0.096, 0.188)"
Eye,phecode_377-5,Vitreous hemorrhage,"0.546 (0.507, 0.577)","0.684 (0.645, 0.732)","0.143 (0.094, 0.184)"
Rx,phecode_977-71,Long term (current) use of insulin,"0.595 (0.576, 0.616)","0.735 (0.715, 0.755)","0.139 (0.12, 0.161)"
Musc/Skel,phecode_709-11,Mallet finger,"0.396 (0.369, 0.43)","0.535 (0.498, 0.56)","0.138 (0.081, 0.173)"
ID,phecode_096,Contact or exposure to infectious agent,"0.429 (0.405, 0.451)","0.563 (0.536, 0.593)","0.135 (0.099, 0.165)"
ID,phecode_008,Helicobacter [H. pylori],"0.442 (0.421, 0.471)","0.574 (0.548, 0.602)","0.132 (0.1, 0.168)"
Eye,phecode_370,Disorders of iris and ciliary body,"0.622 (0.595, 0.648)","0.745 (0.725, 0.774)","0.127 (0.1, 0.152)"
Eye,phecode_369-5,Hereditary corneal dystrophies,"0.64 (0.611, 0.675)","0.766 (0.735, 0.804)","0.126 (0.092, 0.162)"
GI,phecode_529-6,Halitosis*,"0.406 (0.355, 0.442)","0.529 (0.493, 0.567)","0.125 (0.086, 0.168)"
Eye,phecode_386-1,Amblyopia,"0.599 (0.576, 0.622)","0.712 (0.688, 0.738)","0.114 (0.086, 0.136)"
Neuro,phecode_337-8,Polyneuropathy in diseases classified elsewhere,"0.645 (0.613, 0.681)","0.756 (0.726, 0.8)","0.111 (0.065, 0.155)"
Neoplasms,phecode_139-52,Lipoma of intrathoracic organs,"0.431 (0.383, 0.465)","0.537 (0.495, 0.569)","0.109 (0.061, 0.16)"
Neoplasms,phecode_110,Malignant neoplasm of the endocrine glands,"0.458 (0.417, 0.492)","0.564 (0.513, 0.611)","0.109 (0.047, 0.158)"
Eye,phecode_374-8,Retinal edema,"0.652 (0.628, 0.682)","0.758 (0.732, 0.785)","0.107 (0.089, 0.126)"
Eye,phecode_387,Disorders of refraction and accommodation,"0.656 (0.643, 0.666)","0.761 (0.751, 0.772)","0.106 (0.093, 0.119)"
ID,phecode_059-1,COVID-19*,"0.504 (0.468, 0.542)","0.61 (0.57, 0.651)","0.106 (0.06, 0.17)"
Rx,phecode_977,Long term (current) drug therapy,"0.489 (0.481, 0.494)","0.593 (0.588, 0.599)","0.105 (0.098, 0.112)"
Eye,phecode_374-11,Serous retinal detachment,"0.59 (0.568, 0.615)","0.696 (0.675, 0.723)","0.105 (0.076, 0.131)"
Derm,phecode_676-1,Hypertrophic scar [Keloid scar],"0.507 (0.478, 0.542)","0.613 (0.576, 0.647)","0.103 (0.065, 0.143)"
Musc/Skel,phecode_712-1,Loose body in joint,"0.444 (0.412, 0.485)","0.546 (0.511, 0.583)","0.102 (0.058, 0.138)"
Eye,phecode_374-512,Exuadative (wet) age-related macular degeneration,"0.751 (0.722, 0.78)","0.85 (0.826, 0.88)","0.101 (0.071, 0.127)"
Eye,phecode_387-1,Hypermetropia,"0.707 (0.671, 0.741)","0.803 (0.777, 0.828)","0.097 (0.063, 0.125)"
Derm,phecode_679-21,Pallor,"0.462 (0.419, 0.508)","0.558 (0.512, 0.606)","0.097 (0.038, 0.143)"
Eye,phecode_367-6,Episcleritis,"0.478 (0.446, 0.509)","0.572 (0.543, 0.61)","0.096 (0.066, 0.13)"
Endo,phecode_205,Hypoglycemia,"0.656 (0.639, 0.68)","0.75 (0.728, 0.769)","0.094 (0.07, 0.119)"
Eye,phecode_374-1,Retinal detachments and breaks,"0.582 (0.567, 0.599)","0.676 (0.661, 0.688)","0.093 (0.078, 0.111)"
Eye,phecode_385,Abnormal results of function studies of eye,"0.587 (0.557, 0.622)","0.678 (0.646, 0.708)","0.093 (0.057, 0.115)"
GI,phecode_504-1,Gingivitis,"0.422 (0.389, 0.454)","0.515 (0.478, 0.554)","0.093 (0.055, 0.141)"
Metab,phecode_236-11,Morbid obesity,"0.577 (0.553, 0.605)","0.666 (0.646, 0.69)","0.088 (0.068, 0.111)"
ID,phecode_059,Coronavirus,"0.501 (0.465, 0.541)","0.59 (0.536, 0.641)","0.088 (0.041, 0.135)"
Neuro,phecode_352-1,Anosmia*,"0.455 (0.418, 0.488)","0.544 (0.503, 0.574)","0.088 (0.039, 0.135)"
