endpoint,n_1,n_2,n_3,n_4,n_5,n_6,n_7,n_8,n_9,n_10,event_rate_1,event_rate_2,event_rate_3,event_rate_4,event_rate_5,event_rate_6,event_rate_7,event_rate_8,event_rate_9,event_rate_10,event_rate_ratio,endpoint_string,n_epic,phecode_category,highlight,log_ratio
1,10,6,9,10,16,10,6,7,7,6,0.013966480446927373,0.008379888268156424,0.012569832402234637,0.013966480446927373,0.022377622377622378,0.013986013986013986,0.008391608391608392,0.009790209790209791,0.009790209790209791,0.008391608391608392,0.6008391608391609,Family history of malignant neoplasm,122,Stat,NO,-0.5094279994993527
1,12,16,11,23,17,16,19,14,9,8,0.016551724137931035,0.022068965517241378,0.015172413793103448,0.031724137931034485,0.023448275862068966,0.022068965517241378,0.02620689655172414,0.019310344827586208,0.012430939226519336,0.011049723756906077,0.6675874769797421,Hemorrhoids,145,Cardio,NO,-0.4040848456392061
1,13,20,19,12,17,14,18,17,25,10,0.018005540166204988,0.027739251040221916,0.026352288488210817,0.016643550624133148,0.023578363384188627,0.019417475728155338,0.024965325936199722,0.023578363384188627,0.03467406380027739,0.013869625520110958,0.7702976635015469,Secondary malignancy of lymph nodes,170,Neoplasms,NO,-0.26097826285961395
1,55,55,53,48,58,52,44,40,56,48,0.07724719101123595,0.07724719101123595,0.07443820224719101,0.06751054852320675,0.08157524613220815,0.07313642756680731,0.06188466947960619,0.056258790436005623,0.07876230661040788,0.06751054852320675,0.8739547372458765,Other symptoms involving the digestive system and abdomen,527,GI,NO,-0.13472669271584511
2,9,9,5,10,6,13,18,16,11,8,0.01278409090909091,0.01278409090909091,0.007102272727272727,0.014204545454545454,0.008522727272727272,0.018465909090909092,0.02556818181818182,0.022727272727272728,0.015625,0.011363636363636364,0.8888888888888888,Varicose veins of lower extremities,118,Cardio,NO,-0.11778303565638351
2,10,17,7,13,16,16,18,10,11,9,0.014005602240896359,0.023809523809523808,0.00980392156862745,0.018207282913165267,0.022408963585434174,0.022408963585434174,0.025210084033613446,0.014005602240896359,0.015406162464985995,0.012605042016806723,0.9,Family history of other condition,134,Stat,NO,-0.10536051565782628
3,10,8,6,17,7,11,16,21,11,9,0.014204545454545454,0.011363636363636364,0.008522727272727272,0.024147727272727272,0.009943181818181818,0.015625,0.02275960170697013,0.029871977240398292,0.015647226173541962,0.012802275960170697,0.9012802275960171,Venous insufficiency,131,Cardio,NO,-0.10393905131044875
4,10,10,5,13,10,10,17,20,12,9,0.014204545454545454,0.014204545454545454,0.007102272727272727,0.018465909090909092,0.014204545454545454,0.014204545454545454,0.02418207681365576,0.02844950213371266,0.017069701280227598,0.012802275960170697,0.9012802275960171,Varicose veins,131,Cardio,NO,-0.10393905131044875
2,19,27,37,31,31,29,29,31,40,21,0.02661064425770308,0.037815126050420166,0.05182072829131653,0.04341736694677871,0.04341736694677871,0.04061624649859944,0.04061624649859944,0.04341736694677871,0.056022408963585436,0.029453015427769985,1.1068133166014615,Other disorders of the intestines,313,GI,NO,0.10148500048227095
3,57,56,66,65,62,70,59,65,74,64,0.08333333333333333,0.08187134502923976,0.09649122807017543,0.09502923976608187,0.09064327485380116,0.1023391812865497,0.08625730994152046,0.09502923976608187,0.10834553440702782,0.09370424597364568,1.1244509516837482,Abdominal pain,722,GI,NO,0.11729487357688213
4,8,10,16,9,18,14,17,12,18,9,0.011157601115760111,0.013966480446927373,0.0223463687150838,0.012569832402234637,0.025139664804469275,0.019553072625698324,0.023743016759776536,0.01675977653631285,0.025139664804469275,0.012569832402234637,1.1265712290502794,Lesions of mouth,138,GI,NO,0.11917870929535826
1,9,13,8,12,8,12,17,13,22,11,0.01267605633802817,0.018309859154929577,0.011283497884344146,0.01692524682651622,0.011283497884344146,0.01692524682651622,0.023977433004231313,0.018335684062059238,0.031029619181946404,0.015514809590973202,1.2239460899545525,Mononeuropathies,141,Neuro,NO,0.20208013896538465
5,13,22,24,24,26,17,24,25,31,16,0.018055555555555554,0.030555555555555555,0.03333333333333333,0.03333333333333333,0.03616133518776078,0.02364394993045897,0.03337969401947149,0.03477051460361613,0.043115438108484005,0.022253129346314324,1.2324810099497165,Other diseases of stomach and duodenum,228,GI,NO,0.20902921906729885
2,24,35,37,34,38,33,21,38,25,32,0.03443328550932568,0.05021520803443329,0.05308464849354376,0.04878048780487805,0.05459770114942529,0.047413793103448273,0.03017241379310345,0.05459770114942529,0.035919540229885055,0.04597701149425287,1.3352490421455938,Benign neoplasm of the digestive organs,361,Neoplasms,NO,0.2891178228778851
5,16,23,25,20,21,22,26,17,23,22,0.022191400832177532,0.0319001386962552,0.03467406380027739,0.027739251040221916,0.029166666666666667,0.030555555555555555,0.03611111111111111,0.02361111111111111,0.03194444444444444,0.030555555555555555,1.3769097222222222,Venous thromboembolism,218,Cardio,NO,0.3198416563933827
6,6,3,2,6,3,6,4,6,6,9,0.008356545961002786,0.004178272980501393,0.002785515320334262,0.008356545961002786,0.004178272980501393,0.008356545961002786,0.005571030640668524,0.008356545961002786,0.008356545961002786,0.012552301255230125,1.502092050209205,Inflammatory bowel disease,103,GI,NO,0.4068588365567682
1,28,24,30,29,36,26,28,42,29,46,0.03894297635605007,0.03337969401947149,0.04172461752433936,0.0403899721448468,0.05013927576601671,0.036211699164345405,0.03899721448467967,0.0584958217270195,0.0403899721448468,0.06406685236768803,1.6451452447274175,Mood [affective] disorders,351,Mental,NO,0.4978286749867136
2,26,24,28,34,27,24,29,38,30,45,0.03616133518776078,0.03337969401947149,0.03894297635605007,0.04728789986091794,0.037552155771905425,0.03337969401947149,0.04033379694019471,0.05285118219749652,0.04172461752433936,0.06267409470752089,1.733179772873366,Major depressive disorder,329,Mental,YES,0.5499577404216601
7,33,43,49,48,49,61,47,59,59,59,0.04727793696275072,0.06160458452722063,0.07020057306590258,0.06876790830945559,0.07020057306590258,0.08739255014326648,0.0673352435530086,0.08452722063037249,0.08452722063037249,0.08452722063037249,1.7878787878787876,Gastro-esophageal reflux disease,570,GI,NO,0.581029882439239
