endpoint,logh_perc,n,ratio
phecode_202,1,17,0.024045261669024046
phecode_202,2,29,0.04101838755304102
phecode_202,3,32,0.04526166902404526
phecode_202,4,39,0.055162659123055166
phecode_202,5,43,0.06082036775106082
phecode_202,6,38,0.05374823196605375
phecode_202,7,57,0.08062234794908062
phecode_202,8,55,0.07779349363507779
phecode_202,9,60,0.08498583569405099
phecode_202,10,92,0.13031161473087818
phecode_401,1,94,0.15064102564102563
phecode_401,2,115,0.18459069020866772
phecode_401,3,118,0.18940609951845908
phecode_401,4,153,0.24558587479935795
phecode_401,5,173,0.27768860353130015
phecode_401,6,195,0.3130016051364366
phecode_401,7,228,0.36597110754414125
phecode_401,8,231,0.3707865168539326
phecode_401,9,261,0.4189406099518459
phecode_401,10,284,0.45585874799357945
phecode_404,1,28,0.04129793510324484
phecode_404,2,31,0.045722713864306784
phecode_404,3,35,0.051622418879056046
phecode_404,4,48,0.07079646017699115
phecode_404,5,47,0.06932153392330384
phecode_404,6,65,0.09587020648967552
phecode_404,7,92,0.13569321533923304
phecode_404,8,76,0.11209439528023599
phecode_404,9,95,0.140117994100295
phecode_404,10,105,0.155096011816839
phecode_404-1,1,5,0.0070126227208976155
phecode_404-1,2,7,0.009817671809256662
phecode_404-1,3,11,0.015427769985974754
phecode_404-1,4,14,0.019635343618513323
phecode_404-1,5,16,0.02247191011235955
phecode_404-1,6,28,0.03932584269662921
phecode_404-1,7,29,0.04073033707865169
phecode_404-1,8,28,0.03932584269662921
phecode_404-1,9,37,0.05196629213483146
phecode_404-1,10,40,0.056179775280898875
phecode_431-11,1,3,0.004155124653739612
phecode_431-11,2,12,0.01662049861495845
phecode_431-11,3,15,0.02077562326869806
phecode_431-11,4,10,0.013850415512465374
phecode_431-11,5,24,0.0332409972299169
phecode_431-11,6,23,0.03185595567867036
phecode_431-11,7,21,0.029085872576177285
phecode_431-11,8,29,0.04016620498614958
phecode_431-11,9,40,0.055401662049861494
phecode_431-11,10,46,0.06371191135734072
phecode_424,1,4,0.00558659217877095
phecode_424,2,11,0.015363128491620111
phecode_424,3,25,0.03496503496503497
phecode_424,4,19,0.026573426573426574
phecode_424,5,28,0.039160839160839164
phecode_424,6,37,0.05174825174825175
phecode_424,7,37,0.05174825174825175
phecode_424,8,55,0.07692307692307693
phecode_424,9,65,0.09090909090909091
phecode_424,10,99,0.13846153846153847
phecode_468,1,15,0.020891364902506964
phecode_468,2,17,0.023676880222841225
phecode_468,3,30,0.04178272980501393
phecode_468,4,37,0.05153203342618384
phecode_468,5,32,0.04456824512534819
phecode_468,6,30,0.04178272980501393
phecode_468,7,65,0.0905292479108635
phecode_468,8,73,0.10167130919220056
phecode_468,9,91,0.12674094707520892
phecode_468,10,122,0.16991643454038996
phecode_474,1,6,0.008356545961002786
phecode_474,2,7,0.009749303621169917
phecode_474,3,16,0.022284122562674095
phecode_474,4,16,0.022284122562674095
phecode_474,5,15,0.020891364902506964
phecode_474,6,22,0.03064066852367688
phecode_474,7,43,0.05988857938718663
phecode_474,8,40,0.055710306406685235
phecode_474,9,42,0.0584958217270195
phecode_474,10,56,0.07810320781032078
phecode_286-2,1,30,0.04172461752433936
phecode_286-2,2,29,0.04033379694019471
phecode_286-2,3,22,0.030598052851182198
phecode_286-2,4,25,0.03477051460361613
phecode_286-2,5,29,0.04033379694019471
phecode_286-2,6,26,0.03616133518776078
phecode_286-2,7,31,0.043115438108484005
phecode_286-2,8,26,0.03616133518776078
phecode_286-2,9,44,0.061196105702364396
phecode_286-2,10,43,0.05988857938718663
phecode_328,1,7,0.009655172413793104
phecode_328,2,12,0.016551724137931035
phecode_328,3,7,0.009655172413793104
phecode_328,4,14,0.019310344827586208
phecode_328,5,18,0.02482758620689655
phecode_328,6,28,0.038620689655172416
phecode_328,7,35,0.04827586206896552
phecode_328,8,53,0.07310344827586207
phecode_328,9,62,0.0856353591160221
phecode_328,10,74,0.10220994475138122
phecode_164,1,28,0.03982930298719772
phecode_164,2,34,0.04836415362731152
phecode_164,3,35,0.049786628733997154
