endpoint,score,model,iteration,time,cindex,n_epic,eligable,n,freq,phecode_string,phecode_category
OMOP_4306655,Age+Sex,RetinaUKB,0,10,0.748967919001822,111,61213,3471,0.0567036413833662,Death,Event
OMOP_4306655,Retina,RetinaUKB,0,10,0.6229486051668298,111,61213,3471,0.0567036413833662,Death,Event
OMOP_4306655,Age+Sex+Retina,RetinaUKB,0,10,0.7460537110436785,111,61213,3471,0.0567036413833662,Death,Event
OMOP_4306655,SCORE2,RetinaUKB,0,10,0.7259919673951363,111,61213,3471,0.0567036413833662,Death,Event
OMOP_4306655,SCORE2+Retina,RetinaUKB,0,10,0.7139364705959876,111,61213,3471,0.0567036413833662,Death,Event
OMOP_4306655,ASCVD,RetinaUKB,0,10,0.7361760451776365,111,61213,3471,0.0567036413833662,Death,Event
OMOP_4306655,ASCVD+Retina,RetinaUKB,0,10,0.7322421115405271,111,61213,3471,0.0567036413833662,Death,Event
phecode_089,Age+Sex,RetinaUKB,0,10,0.6737284948535651,601,59496,4238,0.0712316794406346,Infections,ID
phecode_089,Retina,RetinaUKB,0,10,0.6567237872713918,601,59496,4238,0.0712316794406346,Infections,ID
phecode_089,Age+Sex+Retina,RetinaUKB,0,10,0.6800378741696829,601,59496,4238,0.0712316794406346,Infections,ID
phecode_089,SCORE2,RetinaUKB,0,10,0.6788647696827098,601,59496,4238,0.0712316794406346,Infections,ID
phecode_089,SCORE2+Retina,RetinaUKB,0,10,0.6852443593630297,601,59496,4238,0.0712316794406346,Infections,ID
phecode_089,ASCVD,RetinaUKB,0,10,0.6826558260651201,601,59496,4238,0.0712316794406346,Infections,ID
phecode_089,ASCVD+Retina,RetinaUKB,0,10,0.6881064552894942,601,59496,4238,0.0712316794406346,Infections,ID
phecode_089-1,Age+Sex,RetinaUKB,0,10,0.7113031262814524,396,60056,2573,0.0428433462102038,Bacterial infections,ID
phecode_089-1,Retina,RetinaUKB,0,10,0.6817130512021574,396,60056,2573,0.0428433462102038,Bacterial infections,ID
phecode_089-1,Age+Sex+Retina,RetinaUKB,0,10,0.7163208934990976,396,60056,2573,0.0428433462102038,Bacterial infections,ID
phecode_089-1,SCORE2,RetinaUKB,0,10,0.7137251699919205,396,60056,2573,0.0428433462102038,Bacterial infections,ID
