phecode_category,endpoint,phecode_string,ukb_n,ukb_n_1,ukb_n_2,ukb_n_3,ukb_n_4,ukb_n_5,ukb_n_6,ukb_n_7,ukb_n_8,ukb_n_9,ukb_n_10,ukb_ratio,epic_n,epic_n_1,epic_n_2,epic_n_3,epic_n_4,epic_n_5,epic_n_6,epic_n_7,epic_n_8,epic_n_9,epic_n_10,epic_ratio
Death,OMOP_4306655,All-Cause Death,3490,59,84,148,213,249,309,386,530,646,866,14.680362504323764,111,3,0,6,8,3,14,11,20,15,31,10.347605893186003
ID,phecode_002,Staphylococcus,658,31,34,54,42,60,61,63,72,100,141,4.549133468138941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ID,phecode_002-1,Staphylococcus aureus,486,27,27,35,39,47,40,45,62,76,88,3.2592592592592595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ID,phecode_003,Escherichia coli,959,57,62,82,72,88,98,96,139,129,136,2.3863576637065917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ID,phecode_004,Streptococcus,494,33,26,30,38,50,40,58,62,74,83,2.5155666936782817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ID,phecode_005,Mycobacteria,113,5,2,13,8,2,8,6,15,17,37,7.401215306290031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ID,phecode_007,Hemophilus infection,107,4,7,5,4,10,18,15,18,12,14,3.5000000000000004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ID,phecode_007-1,Hemophilus influenzae,103,5,6,4,3,16,13,15,17,11,13,2.600424697811173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ID,phecode_008,Helicobacter [H. pylori],364,43,28,25,33,39,27,26,29,39,75,1.7444731553258686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ID,phecode_009,Pseudomonas,231,12,5,12,19,15,24,28,23,48,45,3.7500000000000004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ID,phecode_011,Klebsiella,157,4,7,11,11,9,19,15,19,31,31,7.751265719418586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ID,phecode_015,Clostridium,198,13,9,7,23,13,20,24,26,32,31,2.38500643338295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ID,phecode_015-2,Clostridium difficile,166,6,3,11,12,14,15,23,26,26,30,5.000817929003763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ID,phecode_030,Campylobacter,407,33,42,46,48,40,41,44,41,40,32,0.9698564068837006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
