phecode_category,endpoint,phecode_string,Age+Sex,Age+Sex+Retina,delta,epic_agesex,epic_agesexretina,epic_delta,sign_ukb,sign_epic,sign
Cardio,phecode_413-1,Mitral valve disorders,"0.708 (0.697, 0.718)","0.712 (0.699, 0.723)","0.003 (-0.003, 0.009)","0.559 (0.524, 0.591)","0.546 (0.518, 0.576)","-0.011 (-0.031, 0.003)",ns,ns,ns|ns
Cardio,phecode_440-3,Pulmonary embolism,"0.634 (0.617, 0.649)","0.633 (0.617, 0.648)","-0.002 (-0.01, 0.009)","0.546 (0.511, 0.583)","0.528 (0.51, 0.58)","-0.012 (-0.025, 0.01)",ns,ns,ns|ns
Stat,phecode_981,Family history of malignant neoplasm,"0.515 (0.503, 0.525)","0.519 (0.508, 0.53)","0.005 (-0.002, 0.012)","0.553 (0.516, 0.581)","0.539 (0.492, 0.574)","-0.008 (-0.025, -0.002)",ns,-,ns|-
Neoplasms,phecode_138,Benign neoplasm of the skin,"0.469 (0.452, 0.486)","0.525 (0.51, 0.538)","0.057 (0.037, 0.071)","0.466 (0.442, 0.492)","0.464 (0.432, 0.502)","-0.004 (-0.025, 0.016)",+,ns,+|ns
Stat,phecode_997,Family history of other condition,"0.697 (0.681, 0.716)","0.737 (0.72, 0.759)","0.04 (0.026, 0.054)","0.546 (0.525, 0.561)","0.536 (0.505, 0.551)","-0.01 (-0.023, -0.004)",+,-,+|-
Neoplasms,phecode_116-1,Secondary malignancy of lymph nodes,"0.614 (0.603, 0.628)","0.615 (0.604, 0.626)","0.002 (-0.008, 0.009)","0.467 (0.445, 0.491)","0.458 (0.429, 0.486)","-0.007 (-0.021, 0)",ns,ns,ns|ns
Cardio,phecode_440-1,Venous thromboembolism,"0.588 (0.575, 0.607)","0.604 (0.588, 0.619)","0.015 (0.003, 0.027)","0.428 (0.404, 0.444)","0.411 (0.393, 0.434)","-0.014 (-0.021, -0.008)",+,-,+|-
Musc/Skel,phecode_714,Deforming dorsopathies,"0.696 (0.671, 0.715)","0.689 (0.67, 0.714)","-0.005 (-0.015, 0.005)","0.578 (0.534, 0.627)","0.564 (0.529, 0.612)","-0.012 (-0.018, -0.002)",ns,-,ns|-
Resp,phecode_488,Abnormalities of breathing,"0.587 (0.576, 0.597)","0.617 (0.607, 0.628)","0.03 (0.021, 0.04)","0.599 (0.567, 0.636)","0.592 (0.556, 0.619)","-0.011 (-0.018, 0.002)",+,ns,+|ns
GI,phecode_514,Gastrointestinal obstruction,"0.624 (0.61, 0.636)","0.628 (0.613, 0.64)","0.005 (-0.004, 0.014)","0.565 (0.543, 0.58)","0.566 (0.544, 0.596)","0.002 (-0.016, 0.018)",ns,ns,ns|ns
Cardio,phecode_439,Hemorrhoids,"0.505 (0.496, 0.514)","0.512 (0.503, 0.521)","0.007 (0.001, 0.014)","0.466 (0.431, 0.519)","0.47 (0.433, 0.51)","0.003 (-0.016, 0.023)",+,ns,+|ns
Neoplasms,phecode_105,Malignant neoplasm of the breast,"0.765 (0.759, 0.773)","0.764 (0.758, 0.771)","-0.002 (-0.003, -0.001)","0.702 (0.687, 0.718)","0.719 (0.698, 0.728)","0.02 (-0.015, 0.032)",-,ns,-|ns
