phecode_category,endpoint,phecode_string,Retina,Age+Sex+Retina
Death,OMOP_4306655,All-Cause Death,"3.26 (3.16, 3.6)","1.51 (1.37, 1.7)"
ID,phecode_089,Infections,"50.53 (43.82, 57.84)","5.33 (4.36, 6.49)"
ID,phecode_089-1,Bacterial infections,"4.28 (3.95, 4.71)","1.49 (1.3, 1.63)"
ID,phecode_089-2,Viral infections,"92.13 (47.77, 158.61)","20.64 (10.55, 41.57)"
ID,phecode_089-3,Fungal infections,"49.09 (22.95, 79.24)","16.29 (4.57, 26.49)"
ID,phecode_092,"Bacteremia, Sepsis, and SIRS","2.2 (2.06, 2.36)","1.25 (1.15, 1.37)"
ID,phecode_092-2,Sepsis,"2.24 (2.08, 2.39)","1.26 (1.15, 1.38)"
Neoplasms,phecode_101,Malignant neoplasm of the digestive organs,"2.06 (1.83, 2.28)","1.11 (0.95, 1.15)"
Neoplasms,phecode_101-4,Malignant neoplasm of the colon and rectum,"1.98 (1.81, 2.18)","1.07 (0.98, 1.12)"
Neoplasms,phecode_101-41,Malignant neoplasm of the colon,"2.06 (1.68, 2.45)","1.21 (1.02, 1.41)"
Neoplasms,phecode_103,Malignant neoplasm of the skin,"3.66 (3.3, 3.86)","1.19 (1.1, 1.39)"
Neoplasms,phecode_105,Malignant neoplasm of the breast,"1.71 (1.62, 1.89)","1.16 (1.12, 1.23)"
Neoplasms,phecode_107,Malignant neoplasm of male genitalia,"1.3 (1.13, 1.38)","1 (0.85, 1.17)"
Neoplasms,phecode_107-2,Malignant neoplasm of the prostate,"1.27 (1.12, 1.35)","1.04 (0.85, 1.16)"
Neoplasms,phecode_108,Malignant neoplasm of the urinary tract,"2.83 (2.68, 3.38)","1.32 (1.19, 1.56)"
Neoplasms,phecode_108-5,Malignant neoplasm of the bladder,"2.86 (2.61, 3.2)","1.27 (1.17, 1.45)"
Neoplasms,phecode_112,Malignant neoplasm of other and ill-defined sites,"2.47 (2.29, 2.5)","1.15 (1.08, 1.26)"
Neoplasms,phecode_116,Secondary malignant neoplasm,"1.64 (1.56, 1.7)","1.02 (0.98, 1.09)"
Neoplasms,phecode_116-1,Secondary malignancy of lymph nodes,"0.96 (0.9, 1.05)","0.87 (0.8, 1.04)"
Neoplasms,phecode_120,Hemo onc - by cell of origin,"1.86 (1.68, 1.96)","0.86 (0.79, 1.02)"
Neoplasms,phecode_130,"Cancer (solid tumor, excluding BCC)","2.24 (2.1, 2.34)","1.03 (0.9, 1.09)"
Neoplasms,phecode_136,Benign neoplasm of the digestive organs,"0.79 (0.68, 0.87)","0.98 (0.83, 1.08)"
